source_id,source_type,target_id,target_type,platform
ad:GG-Finance-RW-DEL,group,ad:role-GG-Finance-RW-DEL,role,ad
ad:GG-Sales-RW-BLR,group,ad:GG-Sales-RW,group,ad
ad:GG-Sales-RW-BLR,group,ad:role-GG-Sales-RW-BLR,role,ad
ad:GG-Sales-RW-MUM,group,ad:GG-Sales-RW,group,ad
ad:GG-Sales-RW-MUM,group,ad:role-GG-Sales-RW-MUM,role,ad
ad:GG-Sales-RW-DEL,group,ad:GG-Sales-RW,group,ad
ad:GG-Sales-RW-DEL,group,ad:role-GG-Sales-RW-DEL,role,ad
ad:GG-HR-RW-BLR,group,ad:GG-HR-RW,group,ad
ad:GG-HR-RW-BLR,group,ad:role-GG-HR-RW-BLR,role,ad
ad:GG-HR-RW-MUM,group,ad:GG-HR-RW,group,ad
ad:GG-HR-RW-MUM,group,ad:role-GG-HR-RW-MUM,role,ad
ad:GG-HR-RW-DEL,group,ad:GG-HR-RW,group,ad
ad:GG-HR-RW-DEL,group,ad:role-GG-HR-RW-DEL,role,ad
ad:GG-Legal-RW-BLR,group,ad:GG-Legal-RW,group,ad
ad:GG-Legal-RW-BLR,group,ad:role-GG-Legal-RW-BLR,role,ad
ad:GG-Legal-RW-MUM,group,ad:GG-Legal-RW,group,ad
ad:GG-Legal-RW-MUM,group,ad:role-GG-Legal-RW-MUM,role,ad
ad:GG-Legal-RW-DEL,group,ad:GG-Legal-RW,group,ad
ad:GG-Legal-RW-DEL,group,ad:role-GG-Legal-RW-DEL,role,ad
ad:GG-Data-RW-BLR,group,ad:GG-Data-RW,group,ad
ad:GG-Data-RW-BLR,group,ad:role-GG-Data-RW-BLR,role,ad
ad:GG-Data-RW-MUM,group,ad:GG-Data-RW,group,ad
ad:GG-Data-RW-MUM,group,ad:role-GG-Data-RW-MUM,role,ad
ad:GG-Data-RW-DEL,group,ad:GG-Data-RW,group,ad
ad:GG-Data-RW-DEL,group,ad:role-GG-Data-RW-DEL,role,ad
ad:GG-IT-Helpdesk-BLR,group,ad:GG-IT-Helpdesk,group,ad
ad:GG-IT-Helpdesk-BLR,group,ad:role-GG-IT-Helpdesk-BLR,role,ad
ad:GG-IT-Helpdesk-MUM,group,ad:GG-IT-Helpdesk,group,ad
ad:GG-IT-Helpdesk-MUM,group,ad:role-GG-IT-Helpdesk-MUM,role,ad
ad:GG-IT-Helpdesk-DEL,group,ad:GG-IT-Helpdesk,group,ad
ad:GG-IT-Helpdesk-DEL,group,ad:role-GG-IT-Helpdesk-DEL,role,ad
ad:GG-Security-Analysts-BLR,group,ad:GG-Security-Analysts,group,ad
ad:GG-Security-Analysts-BLR,group,ad:role-GG-Security-Analysts-BLR,role,ad
ad:GG-Security-Analysts-MUM,group,ad:GG-Security-Analysts,group,ad
ad:GG-Security-Analysts-MUM,group,ad:role-GG-Security-Analysts-MUM,role,ad
ad:GG-Security-Analysts-DEL,group,ad:GG-Security-Analysts,group,ad
ad:GG-Security-Analysts-DEL,group,ad:role-GG-Security-Analysts-DEL,role,ad
aws:grp-Developers-BLR,group,aws:grp-Developers,group,aws
aws:grp-Developers-BLR,group,aws:role-grp-Developers-BLR,role,aws
aws:grp-Developers-MUM,group,aws:grp-Developers,group,aws
aws:grp-Developers-MUM,group,aws:role-grp-Developers-MUM,role,aws
aws:grp-Developers-DEL,group,aws:grp-Developers,group,aws
aws:grp-Developers-DEL,group,aws:role-grp-Developers-DEL,role,aws
aws:grp-DataEng-BLR,group,aws:grp-DataEng,group,aws
aws:grp-DataEng-BLR,group,aws:role-grp-DataEng-BLR,role,aws
aws:grp-DataEng-MUM,group,aws:grp-DataEng,group,aws
aws:grp-DataEng-MUM,group,aws:role-grp-DataEng-MUM,role,aws
aws:grp-DataEng-DEL,group,aws:grp-DataEng,group,aws
aws:grp-DataEng-DEL,group,aws:role-grp-DataEng-DEL,role,aws
aws:grp-DevOps-BLR,group,aws:grp-DevOps,group,aws
aws:grp-DevOps-BLR,group,aws:role-grp-DevOps-BLR,role,aws
aws:grp-DevOps-MUM,group,aws:grp-DevOps,group,aws
aws:grp-DevOps-MUM,group,aws:role-grp-DevOps-MUM,role,aws
aws:grp-DevOps-DEL,group,aws:grp-DevOps,group,aws
aws:grp-DevOps-DEL,group,aws:role-grp-DevOps-DEL,role,aws
okta:grp-Engineering-BLR,group,okta:grp-Engineering,group,okta
okta:grp-Engineering-BLR,group,okta:role-grp-Engineering-BLR,role,okta
okta:grp-Engineering-MUM,group,okta:grp-Engineering,group,okta
okta:grp-Engineering-MUM,group,okta:role-grp-Engineering-MUM,role,okta
okta:grp-Engineering-DEL,group,okta:grp-Engineering,group,okta
okta:grp-Engineering-DEL,group,okta:role-grp-Engineering-DEL,role,okta
okta:grp-Finance-BLR,group,okta:grp-Finance,group,okta
okta:grp-Finance-BLR,group,okta:role-grp-Finance-BLR,role,okta
okta:grp-Finance-MUM,group,okta:grp-Finance,group,okta
okta:grp-Finance-MUM,group,okta:role-grp-Finance-MUM,role,okta
okta:grp-Finance-DEL,group,okta:grp-Finance,group,okta
okta:grp-Finance-DEL,group,okta:role-grp-Finance-DEL,role,okta
okta:grp-Sales-BLR,group,okta:grp-Sales,group,okta
okta:grp-Sales-BLR,group,okta:role-grp-Sales-BLR,role,okta
okta:grp-Sales-MUM,group,okta:grp-Sales,group,okta
okta:grp-Sales-MUM,group,okta:role-grp-Sales-MUM,role,okta
okta:grp-Sales-DEL,group,okta:grp-Sales,group,okta
okta:grp-Sales-DEL,group,okta:role-grp-Sales-DEL,role,okta
okta:grp-ITAdmins-BLR,group,okta:grp-ITAdmins,group,okta
okta:grp-ITAdmins-BLR,group,okta:role-grp-ITAdmins-BLR,role,okta
okta:grp-ITAdmins-MUM,group,okta:grp-ITAdmins,group,okta
okta:grp-ITAdmins-MUM,group,okta:role-grp-ITAdmins-MUM,role,okta
okta:grp-ITAdmins-DEL,group,okta:grp-ITAdmins,group,okta
okta:grp-ITAdmins-DEL,group,okta:role-grp-ITAdmins-DEL,role,okta
